"","X_WGS84","Y_WGS84","bio3","bio4","bio7","bio11","bio12"
"1",-86.25,82.750007823,9,15291.994696006,499.999718372,-334,72.000046938
"2",-84.75,82.750007823,8.66666666666667,15324.994461316,498.999796602,-346.666322454666,102.332629263333
"3",-83.25,82.750007823,8.66666666666667,15178.6666666667,494.666666666667,-351.666666666667,136
"4",-81.75,82.750007823,8.79999061239999,14787.7989485888,481.1998779612,-339.8001126512,117.0002065272
"5",-80.25,82.750007823,8.16671360466669,14714.1589844807,476.666463268667,-352.999202054,169.830869088332
"6",-78.75,82.750007823,8.000007823,14540.1611201597,471.833059528333,-353.166345923666,186.665516685666
"7",-77.25,82.750007823,8.83330986433332,14347.997121136,469.833028236333,-340.333654076333,167.501009167001
"8",-75.75,82.750007823,9.66662755166664,14399.000250336,478.833098643333,-331.833888766334,150.334850995334
"9",-74.25,82.750007823,9.33336462533335,14751.497402764,494.499898301,-343.49968708,204.165641853666
"10",-72.75,82.750007823,9.83334897933334,14895.1642884747,503.333247280333,-342.666267693666,226.831534043332
"11",-71.25,82.750007823,9.83335680233335,14745.8296095853,499.666588436667,-343.166009534666,246.497645276999
"12",-69.75,82.750007823,9.83338809433336,14449.8290854443,490.833302041333,-336.165915658666,251.497269772999
"13",-68.25,82.750007823,11.1666666666667,14115.8344754913,484.666697958667,-311,190.333513262333
"14",-66.75,82.750007823,11.6666275516666,13977.50735362,480.833395917333,-305.667519373667,188.503011855002
"15",-65.25,82.750007823,12.3333098643333,13657.501971396,467.166674489667,-298.500305097,188.334358146334
"16",-63.75,82.750007823,12.2000093876,13164.5986012476,443.2,-294.799812248,202.3992302168
"17",-62.25,82.750007823,11.6667136046667,12781.3271062253,420.666525852667,-295.332863953333,233.664992544666
"18",-60.75,82.750007823,12.000046938,12492.991879726,407.999859186,-279.999577558,197.998544921999
"19",-57.75,82.750007823,NA,NA,NA,NA,NA
"20",-56.25,82.750007823,NA,NA,NA,NA,NA
"21",-54.75,82.750007823,11.3333333333333,12177.3333333333,386.666666666667,-261,187
"22",-53.25,82.750007823,11.5,11752,374,-268.5,217.5
"23",-51.75,82.750007823,13,11350,370,-252,165
"24",-50.25,82.750007823,14,10778.6648830227,363.666635374667,-244.666651020667,152.333270749333
"25",-48.75,82.750007823,14,10633.3326762013,362,-242.666666666667,155.666619728667
"26",-47.25,82.750007823,15,10587,360,-242,155
"27",-45.75,82.750007823,14.8333176873333,10541.8328091923,357.499976531,-244.000172106,163.000461557
"28",-44.25,82.750007823,14.999984354,10448.500062584,356.166627551667,-239.500265982,156.167386382667
"29",-42.75,82.750007823,15.25000586725,10494.4985331875,358.12497066375,-242.375,164.6249178585
"30",-41.25,82.750007823,15.5714084551428,10893.2873839374,372.142883964571,-243.857384252572,168.143561212858
"31",-39.75,82.750007823,15.1428571428571,11342.573815704,392.000127403143,-252.285727696571,194.857042275714
"32",-38.25,82.750007823,15.3333385486667,11521.667282076,402.444548751111,-251.444267123111,188.999233346
"33",-36.75,82.750007823,15.5555399095555,11464.1137552851,400.444553966445,-253.222274375556,195.555498186889
"34",-35.25,82.750007823,15.5555555555556,11394.7791494104,399.666750112,-253.444371429778,194.110730391778
"35",-33.75,82.750007823,15.0000208613333,11461.2214242762,400.555685938889,-265.888445585555,230.10942134311
"36",-32.25,82.750007823,15.4444548751111,11431.4455866024,402.66679705,-259.333119504667,200.332524956666
"37",-30.75,82.750007823,15.7777673471111,11473.0029936013,403.555712015556,-262.333322902667,198.888768936222
"38",-29.25,82.750007823,15.8888888888889,11604.8907455476,408.111220633111,-270.222091838889,199.888393432222
"39",-27.75,82.750007823,16,11667.0014342167,409.333385486667,-268.444095017111,185.332431080666
"40",-26.25,82.750007823,16,11638.8802922595,410.75017015025,-254.62526402625,150.37542830925
"41",-24.75,82.750007823,15.8333333333333,11620.8369240903,408.666815303667,-248.333607138333,136.333865297334
"42",-23.25,82.750007823,15.1666666666667,11636.8333333333,404.833333333333,-246,128.166666666667
"43",-21.75,82.750007823,14,11562,401,-245,127
"44",-95.25,81.250007823,9.99995306199997,12884.000657132,414.999859186,-312.000375504,100.000516318
"45",-93.75,81.250007823,9.5,13771.001384671,451.666697958667,-324.333341156333,103.166596259667
"46",-92.25,81.250007823,9.40001877520001,14937.4021497604,502.0000844884,-337.3998216356,110.599483682
"47",-90.75,81.250007823,9.8000093876,15506.2000281628,520.2,-338.7998873488,89.1997559223999
"48",-89.25,81.250007823,9.16668231266667,15668.1635374667,522.666510206667,-343.499859186,103.499593204
"49",-87.75,81.250007823,9.11109024977777,15828.8870739529,528.666468484,-344.889170516889,106.111679582445
"50",-86.25,81.250007823,9.11109024977777,15931.7764687291,531.777595241111,-344.778085482445,101.445195452445
"51",-84.75,81.250007823,8.33333333333333,15946.7739549384,530.777569164444,-358.666656236,148.777683901778
"52",-83.25,81.250007823,8.11112154177778,15739.1076168378,525.333109074,-361.666567575333,181.110485271111
"53",-81.75,81.250007823,8.7777517011111,15445.3325875407,519.999791386667,-347.778158497111,155.445633540445
"54",-80.25,81.250007823,8.88886281222221,15251.333703622,515.66648413,-345.222639448889,165.556848958223
"55",-78.75,81.250007823,9.12497066374998,14972.0009915652,506.62486505325,-342.7504576455,180.376079574001
"56",-77.25,81.250007823,9.22221700688888,14821.5539596636,504.777652609778,-339.777840361778,187.889233100889
"57",-75.75,81.250007823,9.33332290266666,14645.8895668822,499.888857596889,-338.555696369556,204.778309741778
"58",-74.25,81.250007823,8.77778820844445,14616.7791181184,498.444465305778,-348.555419956889,264.332540602666
"59",-72.75,81.250007823,9.88886281222221,14360.8964354762,496.000104306667,-325.778268019111,221.778596585112
"60",-71.25,81.250007823,10.7777621317778,13963.8967014582,486.444590473778,-303.333792282667,178.445247605778
"61",-69.75,81.250007823,10.4444600904445,13760.7798482651,478.666781404,-304.555352157555,207.110005460444
"62",-68.25,81.250007823,11.0000104306667,13538.8916165082,470.777856007778,-296.222217006889,197.666452838
"63",-66.75,81.250007823,11.3333411563333,13596.001885343,468.500086053,-300.499937416,217.666181640666
"64",-65.25,81.250007823,12.12499413275,13303.5014198745,455.12504107075,-286.87511147775,196.750211221
"65",-63.75,81.250007823,12.6666666666667,13020.3341625713,440.166690135667,-280.999945239,197.333075174333
"66",-62.25,81.250007823,13,12905.6643510587,431.999906124,-271.999749664,198.332378927333
"67",-60.75,81.250007823,12.37500586725,12803.122770445,417.499953062,-274.624976531,208.24978291175
"68",-59.25,81.250007823,11.0000208613333,12905.8844819322,413.777715193778,-281.666426761333,246.776818156444
"69",-57.75,81.250007823,10.2222326528889,13018.3270175647,410.444345353111,-287.999734018,283.998857841999
"70",-56.25,81.250007823,9.77780906977779,13007.7726093824,408.666557144667,-282.999749664,275.332305912666
"71",-54.75,81.250007823,9.77779342377779,12925.3286238873,407.444329707111,-279.999848755333,270.110427902444
"72",-53.25,81.250007823,10.6666666666667,12325.7761245171,390.555477325556,-273.333385486667,255.555560770889
"73",-51.75,81.250007823,11.33335941,11660.99640142,374.555519048222,-275.555284358222,270.887595486221
"74",-50.25,81.250007823,11.75001760175,11290.7451771205,370.99995892925,-281.6245658235,297.748198754249
"75",-48.75,81.250007823,11.8889253962222,11158.5517953002,369.333296826,-279.110824267778,292.554246506888
"76",-47.25,81.250007823,12.3333489793333,11179.1072621951,369.888821089556,-277.999760094666,294.332248543999
"77",-45.75,81.250007823,13.0000052153333,11141.7735533578,369.666567575333,-274.555237420222,293.887454672221
"78",-44.25,81.250007823,13.3333333333333,11060.7743617344,368.333275964667,-271.666442407333,291.776797295111
"79",-42.75,81.250007823,12.6666770973333,11157.7747841764,370.888815874222,-282.999807032667,340.665717475999
"80",-41.25,81.250007823,12.000015646,11347.2215077216,374.888888888889,-299.222097054222,417.554762824888
"81",-39.75,81.250007823,11.5555607708889,11510.4445904738,378.555612924222,-310.99984354,476.443479607777
"82",-38.25,81.250007823,11.8888941042222,11496.334329462,379.111199771778,-308.110939005111,463.332253759333
"83",-36.75,81.250007823,12.8889045348889,11314.3337922827,377.666744896667,-295.222018824222,402.776619973777
"84",-35.25,81.250007823,13.8888888888889,11137.8923310089,375.222357820889,-284.444507028444,350.999833109333
"85",-33.75,81.250007823,14.4444444444444,11057.667829686,375.777897730445,-278.444350568444,317.666082549333
"86",-32.25,81.250007823,15.1111163264444,10930.4471512024,375.444553966444,-268.000036507333,272.555477325556
"87",-30.75,81.250007823,15.6666770973333,10940.8889566882,376.333395917333,-269.221956240222,261.887882329555
"88",-29.25,81.250007823,16.4444496597778,11046.0014498627,382.777850792444,-279.444173247111,259.776818156444
"89",-27.75,81.250007823,17,11043.0042348507,383.777965529778,-276.333500224,236.111397954445
"90",-26.25,81.250007823,16.8888836735556,11039.003144846,385.444611335111,-272.110980727778,218.555060098889
"91",-24.75,81.250007823,16.875,11076.5034616775,386.2501525485,-270.500070407,208.25011147775
"92",-23.25,81.250007823,15.87499413275,11454.6276461298,391.2501056105,-258.375328566,173.62579207875
"93",-21.75,81.250007823,14.3749882655,12107.4976178965,412.624976531,-262.8746362305,186.123908691499
"94",-20.25,81.250007823,13.5,12807.997121136,436.666596259667,-263.666478914667,190.832840484333
"95",-18.75,81.250007823,13.5714285714286,12724.7081569526,438.856948399714,-268.284923045142,215.426539683713
"96",-17.25,81.250007823,14,12430.8312367693,432.833262926333,-247.499960885,190.333215988333
"97",-15.75,81.250007823,13.375,11167.4994015405,391.12494719475,-219.50004107075,172.499882655
"98",-14.25,81.250007823,12.2857142857143,9873.143500864,343.000013410857,-203.428611661143,184.857075802857
"99",-12.75,81.250007823,10.6666666666667,8746.001987042,301.000093876,-183.666713604667,203.666619728667
"100",-11.25,81.250007823,10,8328,285,-175,216
"101",20.25,81.250007823,NA,NA,NA,NA,NA
"102",21.75,81.250007823,NA,NA,NA,NA,NA
"103",45.75,81.250007823,NA,NA,NA,NA,NA
"104",47.25,81.250007823,17,4785,214,-100,235
"105",48.75,81.250007823,17,4899,219,-105.5,233.5
"106",50.25,81.250007823,17,5026.33477276533,225.333395917333,-110.333427209333,226.333317687333
"107",51.75,81.250007823,17,5208,233,-126,254
"108",54.75,81.250007823,17,5788.5,250,-132,230
"109",56.25,81.250007823,16.6666666666667,6133.33433467733,263.666705781667,-149.833505439333,234.000281628
"110",57.75,81.250007823,16.000007823,6576.33395917333,278.333395917333,-161.00015646,232.500046938
"111",59.25,81.250007823,16,6824,286.333333333333,-163,194
"112",60.75,81.250007823,16,6362.000688424,274.333395917333,-155.666416330667,213.99937416
"113",62.25,81.250007823,16,6154,271,-155,201
"114",63.75,81.250007823,16,6047.66845031067,266.666838772667,-160.999593204,200.665853074666
"115",65.25,81.250007823,15.5,6019,269,-151.5,175
"116",78.75,81.250007823,NA,NA,NA,NA,NA
"117",80.25,81.250007823,14,7281.5,283.5,-196.5,157.5
"118",90.75,81.250007823,NA,NA,NA,NA,NA
"119",92.25,81.250007823,16,9382,346,-239,122
"120",93.75,81.250007823,16,9437.66632245467,348.333348979333,-248.333020413333,141.666072118666
"121",95.25,81.250007823,15.4000281628,9458.3998028604,350.6,-260.1993053176,167.398770224399
"122",96.75,81.250007823,16,9584.33176873333,354.666604082667,-252.999671434,163.332754431333
"123",98.25,81.250007823,16,9632,356,-246,153
"124",-105.75,79.750007823,9,11883,375,-297,90
"125",-104.25,79.750007823,9.66666666666667,11922.6666666667,377,-298,103.666666666667
"126",-102.75,79.750007823,10,11961,380,-299,114
"127",-99.75,79.750007823,10,12120,385.5,-302,108
"128",-98.25,79.750007823,10,11976.003942792,382.000046938,-296.000093876,104.999812248
"129",-96.75,79.750007823,NA,NA,NA,NA,NA
