species,x,y
VulpesVulpes,-89.25,73.750007823
VulpesVulpes,-87.75,73.750007823
VulpesVulpes,-86.25,73.750007823
VulpesVulpes,-84.75,73.750007823
VulpesVulpes,-83.25,73.750007823
VulpesVulpes,-81.75,73.750007823
VulpesVulpes,108.75,73.750007823
VulpesVulpes,110.25,73.750007823
VulpesVulpes,111.75,73.750007823
VulpesVulpes,113.25,73.750007823
VulpesVulpes,114.75,73.750007823
VulpesVulpes,116.25,73.750007823
VulpesVulpes,117.75,73.750007823
VulpesVulpes,123.75,73.750007823
VulpesVulpes,125.25,73.750007823
VulpesVulpes,126.75,73.750007823
VulpesVulpes,128.25,73.750007823
VulpesVulpes,-95.25,72.250007823
VulpesVulpes,-89.25,72.250007823
VulpesVulpes,-87.75,72.250007823
VulpesVulpes,-86.25,72.250007823
VulpesVulpes,-84.75,72.250007823
VulpesVulpes,-83.25,72.250007823
VulpesVulpes,-81.75,72.250007823
VulpesVulpes,-80.25,72.250007823
VulpesVulpes,-78.75,72.250007823
VulpesVulpes,-77.25,72.250007823
VulpesVulpes,-75.75,72.250007823
VulpesVulpes,-74.25,72.250007823
VulpesVulpes,101.25,72.250007823
VulpesVulpes,102.75,72.250007823
VulpesVulpes,104.25,72.250007823
VulpesVulpes,105.75,72.250007823
VulpesVulpes,107.25,72.250007823
VulpesVulpes,108.75,72.250007823
VulpesVulpes,110.25,72.250007823
VulpesVulpes,111.75,72.250007823
VulpesVulpes,113.25,72.250007823
VulpesVulpes,114.75,72.250007823
VulpesVulpes,116.25,72.250007823
VulpesVulpes,117.75,72.250007823
VulpesVulpes,119.25,72.250007823
VulpesVulpes,120.75,72.250007823
VulpesVulpes,122.25,72.250007823
VulpesVulpes,123.75,72.250007823
VulpesVulpes,125.25,72.250007823
VulpesVulpes,126.75,72.250007823
VulpesVulpes,128.25,72.250007823
VulpesVulpes,129.75,72.250007823
VulpesVulpes,132.75,72.250007823
VulpesVulpes,140.25,72.250007823
VulpesVulpes,141.75,72.250007823
VulpesVulpes,143.25,72.250007823
VulpesVulpes,144.75,72.250007823
VulpesVulpes,146.25,72.250007823
VulpesVulpes,147.75,72.250007823
VulpesVulpes,149.25,72.250007823
VulpesVulpes,-161.25,70.750007823
