"X_WGS84"	"Y_WGS84"	"ConnochaetesGnou"	"GuloGulo"	"PantheraOnca"	"PteropusGiganteus"	"TenrecEcaudatus"	"VulpesVulpes"
"1124"	-98.25	67.75000782	0	1	0	0	0	1
"3506"	135.75	48.25000782	0	1	0	0	0	1
"4706"	-96.75	33.25000782	0	0	0	0	0	1
"1532"	-105.75	64.75000782	0	1	0	0	0	1
"7940"	29.25	-23.74999218	0	0	0	0	0	0
"4891"	86.25	31.75000782	0	0	0	0	0	1
"2809"	38.25	54.25000782	0	0	0	0	0	1
"8071"	119.25	-26.74999218	0	0	0	0	0	0
"5966"	104.25	16.75000782	0	0	0	0	0	0
"4363"	-8.25	37.75000782	0	0	0	0	0	1
"2437"	-119.25	57.25000782	0	1	0	0	0	1
"6879"	143.25	-1.249992177	0	0	0	0	0	0
"8156"	-62.25	-29.74999218	0	0	0	0	0	0
"6813"	-63.75	-1.249992177	0	0	1	0	0	0
"622"	-101.25	72.25000782	0	0	0	0	0	0
"3031"	120.75	52.75000782	0	1	0	0	0	1
"7090"	27.75	-5.749992177	0	0	0	0	0	0
"2350"	60.75	58.75000782	0	1	0	0	0	1
"1092"	-146.25	67.75000782	0	1	0	0	0	1
"4584"	-102.75	34.75000782	0	0	0	0	0	0
"677"	80.25	72.25000782	0	1	0	0	0	0
"4233"	-77.25	39.25000782	0	0	0	0	0	1
"2168"	36.75	60.25000782	0	0	0	0	0	1
"1108"	-122.25	67.75000782	0	1	0	0	0	1
"2578"	-129.75	55.75000782	0	1	0	0	0	1
"5907"	-9.75	16.75000782	0	0	0	0	0	0
"2761"	-84.75	54.25000782	0	1	0	0	0	1
"4384"	36.75	37.75000782	0	0	0	0	0	1
"3995"	15.75	42.25000782	0	0	0	0	0	1
"1948"	-74.25	61.75000782	0	1	0	0	0	1
"5481"	-110.25	22.75000782	0	0	0	0	0	0
"6569"	38.25	4.750007823	0	0	0	0	0	0
"6637"	41.25	3.250007823	0	0	0	0	0	0
"6544"	-3.75	4.750007823	0	0	0	0	0	0
"7717"	-39.75	-19.24999218	0	0	1	0	0	0
"5443"	72.75	24.25000782	0	0	0	1	0	1
"8299"	-80.25	-34.24999218	0	0	0	0	0	0
"1076"	-177.75	67.75000782	0	1	0	0	0	1
"7549"	-152.25	-16.24999218	0	0	0	0	0	0
"6387"	-8.25	7.750007823	0	0	0	0	0	0
"3481"	98.25	48.25000782	0	1	0	0	0	1
"272"	-32.25	78.25000782	0	0	0	0	0	0
"1380"	23.25	66.25000782	0	0	0	0	0	1
"7449"	12.75	-13.24999218	0	0	0	0	0	0
"4789"	111.75	33.25000782	0	0	0	0	0	1
"2241"	146.25	60.25000782	0	1	0	0	0	1
"7880"	45.75	-22.24999218	0	0	0	0	1	0
"1898"	-158.25	61.75000782	0	1	0	0	0	1
"7420"	-176.25	-13.24999218	0	0	0	0	0	0
"7254"	35.25	-8.749992177	0	0	0	0	0	0
"1009"	81.75	69.25000782	0	1	0	0	0	0
"6991"	-48.75	-4.249992177	0	0	1	0	0	0
"3514"	-123.75	46.75000782	0	0	0	0	0	1
"42"	-23.25	82.75000782	0	0	0	0	0	0
"4077"	-119.25	40.75000782	0	0	0	0	0	0
"7847"	-62.25	-22.24999218	0	0	1	0	0	0
"5287"	-3.75	25.75000782	0	0	0	0	0	0
"5299"	14.25	25.75000782	0	0	0	0	0	0
"3980"	-69.75	42.25000782	0	0	0	0	0	0
"5038"	-110.25	28.75000782	0	0	0	0	0	0
"6936"	102.75	-2.749992177	0	0	0	0	0	0
"7893"	128.25	-22.24999218	0	0	0	0	0	0
"3232"	-96.75	49.75000782	0	0	0	0	0	1
"5143"	114.75	28.75000782	0	0	0	0	0	1
"3214"	-123.75	49.75000782	0	1	0	0	0	1
"3123"	20.25	51.25000782	0	0	0	0	0	1
"1183"	39.75	67.75000782	0	1	0	0	0	1
"1974"	26.25	61.75000782	0	1	0	0	0	1
"346"	-57.75	76.75000782	0	0	0	0	0	0
"6477"	15.75	6.250007823	0	0	0	0	0	0
"2977"	39.75	52.75000782	0	0	0	0	0	1
"4940"	-83.25	30.25000782	0	0	0	0	0	1
"2975"	36.75	52.75000782	0	0	0	0	0	1
"1543"	-89.25	64.75000782	0	1	0	0	0	1
"47"	-90.75	81.25000782	0	1	0	0	0	0
"2510"	60.75	57.25000782	0	1	0	0	0	1
"3439"	35.25	48.25000782	0	0	0	0	0	1
"2106"	-126.75	60.25000782	0	1	0	0	0	1
"4691"	-119.25	33.25000782	0	0	0	0	0	0
"2124"	-99.75	60.25000782	0	1	0	0	0	1
"2444"	-108.75	57.25000782	0	1	0	0	0	1
"1453"	132.75	66.25000782	0	1	0	0	0	1
"5139"	108.75	28.75000782	0	0	0	0	0	1
"588"	105.75	73.75000782	0	1	0	0	0	0
"5881"	105.75	18.25000782	0	0	0	0	0	0
"6721"	119.25	1.750007823	0	0	0	0	0	0
"3839"	-69.75	43.75000782	0	0	0	0	0	1
"1713"	-138.75	63.25000782	0	1	0	0	0	1
"6228"	-5.25	10.75000782	0	0	0	0	0	0
"2632"	11.25	55.75000782	0	0	0	0	0	1
"1035"	120.75	69.25000782	0	1	0	0	0	1
"1838"	98.25	63.25000782	0	1	0	0	0	1
"89"	-27.75	81.25000782	0	0	0	0	0	0
"6000"	0.75	15.25000782	0	0	0	0	0	0
"2083"	-161.25	60.25000782	0	1	0	0	0	1
"3202"	138.75	51.25000782	0	1	0	0	0	1
"267"	-39.75	78.25000782	0	0	0	0	0	0
"2552"	123.75	57.25000782	0	1	0	0	0	1
"4420"	92.25	37.75000782	0	0	0	0	0	1
"3182"	108.75	51.25000782	0	1	0	0	0	1
"4558"	114.75	36.25000782	0	0	0	0	0	1
"4595"	-86.25	34.75000782	0	0	0	0	0	1
"7519"	26.25	-14.74999218	0	0	0	0	0	0
"2043"	129.75	61.75000782	0	1	0	0	0	1
"8447"	-176.25	-43.24999218	0	0	0	0	0	0
"7061"	-62.25	-5.749992177	0	0	1	0	0	0
"4338"	-107.25	37.75000782	0	0	0	0	0	1
"7152"	-45.75	-7.249992177	0	0	1	0	0	0
"39"	-27.75	82.75000782	0	0	0	0	0	0
"5698"	-101.25	19.75000782	0	0	0	0	0	0
"6024"	36.75	15.25000782	0	0	0	0	0	0
"786"	-39.75	70.75000782	0	0	0	0	0	0
"3958"	-102.75	42.25000782	0	0	0	0	0	1
"7036"	134.25	-4.249992177	0	0	0	0	0	0
"3798"	141.75	45.25000782	0	0	0	0	0	1
"6499"	48.75	6.250007823	0	0	0	0	0	0
"8245"	140.25	-31.24999218	0	0	0	0	0	0
"7312"	-44.25	-10.24999218	0	0	1	0	0	0
"6231"	-0.75	10.75000782	0	0	0	0	0	0
"1791"	27.75	63.25000782	0	1	0	0	0	1
"3269"	3.75	49.75000782	0	0	0	0	0	1
"3734"	42.75	45.25000782	0	0	0	0	0	1
"2235"	137.25	60.25000782	0	1	0	0	0	1
"5930"	24.75	16.75000782	0	0	0	0	0	0
"6480"	20.25	6.250007823	0	0	0	0	0	0
"6828"	9.75	-1.249992177	0	0	0	0	0	0
"7489"	-68.25	-14.74999218	0	0	1	0	0	0
"4504"	33.75	36.25000782	0	0	0	0	0	1
"3711"	8.25	45.25000782	0	0	0	0	0	1
"3198"	132.75	51.25000782	0	1	0	0	0	1
"978"	26.25	69.25000782	0	1	0	0	0	1
"2029"	108.75	61.75000782	0	1	0	0	0	1
"7570"	-45.75	-16.24999218	0	0	0	0	0	0
"2522"	78.75	57.25000782	0	1	0	0	0	1
"2709"	128.25	55.75000782	0	1	0	0	0	1
"3695"	-72.75	45.25000782	0	0	0	0	0	1
"2297"	-80.25	58.75000782	0	0	0	0	0	0
"6619"	14.25	3.250007823	0	0	0	0	0	0
"8089"	146.25	-26.74999218	0	0	0	0	0	0
"7614"	141.75	-16.24999218	0	0	0	0	0	0
"3589"	38.25	46.75000782	0	0	0	0	0	1
"1551"	-75.75	64.75000782	0	1	0	0	0	1
"3270"	5.25	49.75000782	0	0	0	0	0	1
"7764"	-174.75	-20.74999218	0	0	0	0	0	0
"2649"	38.25	55.75000782	0	0	0	0	0	1
"6802"	-80.25	-1.249992177	0	0	0	0	0	0
"6600"	-71.25	3.250007823	0	0	1	0	0	0
"4515"	50.25	36.25000782	0	0	0	0	0	1
"2049"	138.75	61.75000782	0	1	0	0	0	1
"3837"	-72.75	43.75000782	0	0	0	0	0	1
"4564"	126.75	36.25000782	0	0	0	0	0	1
"1639"	99.75	64.75000782	0	1	0	0	0	1
"6666"	-71.25	1.750007823	0	0	1	0	0	0
"496"	141.75	75.25000782	0	0	0	0	0	0
"819"	72.75	70.75000782	0	1	0	0	0	0
"2747"	-105.75	54.25000782	0	0	0	0	0	1
"2708"	126.75	55.75000782	0	1	0	0	0	1
"8125"	117.75	-28.24999218	0	0	0	0	0	0
"5027"	117.75	30.25000782	0	0	0	0	0	1
"1391"	39.75	66.25000782	0	1	0	0	0	1
"2368"	87.75	58.75000782	0	1	0	0	0	1
"2850"	99.75	54.25000782	0	1	0	0	0	1
"362"	-33.75	76.75000782	0	0	0	0	0	0
"3834"	-77.25	43.75000782	0	0	0	0	0	1
"7253"	33.75	-8.749992177	0	0	0	0	0	0
"6651"	108.75	3.250007823	0	0	0	0	0	0
"4713"	-86.25	33.25000782	0	0	0	0	0	1
"6825"	-45.75	-1.249992177	0	0	1	0	0	0
"3449"	50.25	48.25000782	0	0	0	0	0	1
"4490"	6.75	36.25000782	0	0	0	0	0	1
"2086"	-156.75	60.25000782	0	1	0	0	0	1
"6964"	149.25	-2.749992177	0	0	0	0	0	0
"5588"	-107.25	21.25000782	0	0	0	0	0	0
"4501"	29.25	36.25000782	0	0	0	0	0	1
"7294"	-71.25	-10.24999218	0	0	1	0	0	0
"1485"	-179.25	64.75000782	0	1	0	0	0	1
"4316"	114.75	39.25000782	0	0	0	0	0	1
"7499"	-53.25	-14.74999218	0	0	1	0	0	0
"5568"	95.25	22.75000782	0	0	0	1	0	0
"7943"	33.75	-23.74999218	0	0	0	0	0	0
"4889"	83.25	31.75000782	0	0	0	0	0	1
"2771"	-69.75	54.25000782	0	1	0	0	0	1
"4402"	65.25	37.75000782	0	0	0	0	0	1
"162"	-45.75	79.75000782	0	0	0	0	0	0
"6875"	134.25	-1.249992177	0	0	0	0	0	0
"3763"	86.25	45.25000782	0	0	0	0	0	1
"6377"	-66.75	7.750007823	0	0	1	0	0	0
"6980"	-65.25	-4.249992177	0	0	1	0	0	0
"4489"	5.25	36.25000782	0	0	0	0	0	1
"1073"	177.75	69.25000782	0	1	0	0	0	1
"7189"	117.75	-7.249992177	0	0	0	0	0	0
"8372"	-66.75	-37.24999218	0	0	0	0	0	0
"7854"	-51.75	-22.24999218	0	0	1	0	0	0
"7526"	36.75	-14.74999218	0	0	0	0	0	0
