"","X_WGS84","Y_WGS84","ConnochaetesGnou","GuloGulo","PantheraOnca","PteropusGiganteus","TenrecEcaudatus","VulpesVulpes"
"1",-86.25,82.750007823,0,0,0,0,0,0
"2",-84.75,82.750007823,0,1,0,0,0,0
"3",-83.25,82.750007823,0,1,0,0,0,0
"4",-81.75,82.750007823,0,1,0,0,0,0
"5",-80.25,82.750007823,0,1,0,0,0,0
"6",-78.75,82.750007823,0,1,0,0,0,0
"7",-77.25,82.750007823,0,1,0,0,0,0
"8",-75.75,82.750007823,0,1,0,0,0,0
"9",-74.25,82.750007823,0,1,0,0,0,0
"10",-72.75,82.750007823,0,1,0,0,0,0
"11",-71.25,82.750007823,0,1,0,0,0,0
"12",-69.75,82.750007823,0,1,0,0,0,0
"13",-68.25,82.750007823,0,1,0,0,0,0
"14",-66.75,82.750007823,0,1,0,0,0,0
"15",-65.25,82.750007823,0,1,0,0,0,0
"16",-63.75,82.750007823,0,1,0,0,0,0
"17",-62.25,82.750007823,0,1,0,0,0,0
"18",-60.75,82.750007823,0,1,0,0,0,0
"19",-57.75,82.750007823,0,0,0,0,0,0
"20",-56.25,82.750007823,0,0,0,0,0,0
"21",-54.75,82.750007823,0,0,0,0,0,0
"22",-53.25,82.750007823,0,0,0,0,0,0
"23",-51.75,82.750007823,0,0,0,0,0,0
"24",-50.25,82.750007823,0,0,0,0,0,0
"25",-48.75,82.750007823,0,0,0,0,0,0
"26",-47.25,82.750007823,0,0,0,0,0,0
"27",-45.75,82.750007823,0,0,0,0,0,0
"28",-44.25,82.750007823,0,0,0,0,0,0
"29",-42.75,82.750007823,0,0,0,0,0,0
"30",-41.25,82.750007823,0,0,0,0,0,0
"31",-39.75,82.750007823,0,0,0,0,0,0
"32",-38.25,82.750007823,0,0,0,0,0,0
"33",-36.75,82.750007823,0,0,0,0,0,0
"34",-35.25,82.750007823,0,0,0,0,0,0
"35",-33.75,82.750007823,0,0,0,0,0,0
"36",-32.25,82.750007823,0,0,0,0,0,0
"37",-30.75,82.750007823,0,0,0,0,0,0
"38",-29.25,82.750007823,0,0,0,0,0,0
"39",-27.75,82.750007823,0,0,0,0,0,0
"40",-26.25,82.750007823,0,0,0,0,0,0
"41",-24.75,82.750007823,0,0,0,0,0,0
"42",-23.25,82.750007823,0,0,0,0,0,0
"43",-21.75,82.750007823,0,0,0,0,0,0
"44",-95.25,81.250007823,0,0,0,0,0,0
"45",-93.75,81.250007823,0,0,0,0,0,0
"46",-92.25,81.250007823,0,0,0,0,0,0
"47",-90.75,81.250007823,0,1,0,0,0,0
"48",-89.25,81.250007823,0,1,0,0,0,0
"49",-87.75,81.250007823,0,1,0,0,0,0
"50",-86.25,81.250007823,0,1,0,0,0,0
"51",-84.75,81.250007823,0,1,0,0,0,0
"52",-83.25,81.250007823,0,1,0,0,0,0
"53",-81.75,81.250007823,0,1,0,0,0,0
"54",-80.25,81.250007823,0,1,0,0,0,0
"55",-78.75,81.250007823,0,1,0,0,0,0
"56",-77.25,81.250007823,0,1,0,0,0,0
"57",-75.75,81.250007823,0,1,0,0,0,0
"58",-74.25,81.250007823,0,1,0,0,0,0
"59",-72.75,81.250007823,0,1,0,0,0,0
"60",-71.25,81.250007823,0,1,0,0,0,0
"61",-69.75,81.250007823,0,1,0,0,0,0
"62",-68.25,81.250007823,0,1,0,0,0,0
"63",-66.75,81.250007823,0,1,0,0,0,0
"64",-65.25,81.250007823,0,1,0,0,0,0
"65",-63.75,81.250007823,0,1,0,0,0,0
"66",-62.25,81.250007823,0,0,0,0,0,0
"67",-60.75,81.250007823,0,0,0,0,0,0
"68",-59.25,81.250007823,0,0,0,0,0,0
"69",-57.75,81.250007823,0,0,0,0,0,0
"70",-56.25,81.250007823,0,0,0,0,0,0
