"lon","lat","dwnld.date"
-108.244207,32.897512,2017-07-25
-112.191523,35.237998,2017-07-25
-109.601809,38.789064,2017-07-25
-112.04911,35.359271,2017-07-25
-105.553405,36.372822,2017-07-25
-108.703828,39.100903,2017-07-25
-112.202556,35.356089,2017-07-25
-106.506111,31.769444,2017-07-25
-113.041411,37.690547,2017-07-25
-112.488604,36.459096,2017-07-25
-111.549935,34.520812,2017-07-25
-111.490822,35.371243,2017-07-25
-107.870959,36.541877,2017-07-25
-111.298753,38.298783,2017-07-25
-112.093334,35.820043,2017-07-25
-104.826976,31.898318,2017-07-25
-106.398475,35.086831,2017-07-25
-114.171578,35.452238,2017-07-25
-113.966133,35.13992,2017-07-25
-109.446387,32.147135,2017-07-25
-105.365323,39.573842,2017-07-25
-106.15697,38.871468,2017-07-25
-107.743349,38.209013,2017-07-25
-106.263236,35.777894,2017-07-25
-109.606047,38.790047,2017-07-25
-106.221355,35.861182,2017-07-25
-106.223677,35.86001,2017-07-25
-109.315833,32.02933,2017-07-25
-105.887767,35.68966,2017-07-25
-112.10958,36.062025,2017-07-25
-108.730718,39.097041,2017-07-25
-107.219709,39.470741,2017-07-25
-108.724777,39.075226,2017-07-25
-110.540774,36.686404,2017-07-25
-109.849548,38.31707,2017-07-25
-103.979907,36.778203,2017-07-25
-107.760987,39.587447,2017-07-25
-108.724817,39.075135,2017-07-25
-112.136953,36.057239,2017-07-25
-103.970856,36.780802,2017-07-25
-104.377264,36.943564,2017-07-25
-103.968097,36.781466,2017-07-25
-103.968884,36.780862,2017-07-25
-104.569182,37.142418,2017-07-25
-111.197679,38.205617,2017-07-25
-112.1339,36.051314,2017-07-25
-105.893233,33.399247,2017-07-25
-111.417005,37.767147,2017-07-25
-111.83548,38.534336,2017-07-25
-112.140026,36.056935,2017-07-25
-112.137373,36.058723,2017-07-25
-112.147673,36.058908,2017-07-25
-107.2224,39.420258,2017-07-25
-104.841122,31.895515,2017-07-25
-111.816621,36.035896,2017-07-25
-107.799515,38.671332,2017-07-25
-113.595488,38.407998,2017-07-25
-109.606823,38.795781,2017-07-25
-106.24348,37.21038,2017-07-25
-110.730017,37.51782,2017-07-25
-111.543267,35.525765,2017-07-25
-111.781534,34.863619,2017-07-25
-105.672675,36.679916,2017-07-25
-111.453875,37.746425,2017-07-25
-106.286252,35.097683,2017-07-25
-109.73621,38.486344,2017-07-25
-105.835542,32.950923,2017-07-25
-105.06712,38.21114,2017-07-25
-108.081944,37.244167,2017-07-25
-105.923033,35.700168,2017-07-25
-104.878406,38.871484,2017-07-25
-105.562477,36.544949,2017-07-25
-108.39725,32.55617,2017-07-25
-111.83194,34.86547,2017-07-25
-111.770255,34.807613,2017-07-25
-109.44504,38.43991,2017-07-25
-111.959953,36.039246,2017-07-25
-111.98714,35.998637,2017-07-25
-112.115135,36.062699,2017-07-25
-102.98788,37.09172,2017-07-25
-102.98788,37.09172,2017-07-25
-115.30012,35.2411799991105,2017-07-25
-115.30012,35.24118,2017-07-25
-112.082396,36.052289,2017-07-25
-115.24607,35.3007199991098,2017-07-25
-112.157622,36.067417,2017-07-25
-115.26788,35.25688,2017-07-25
-115.24607,35.30072,2017-07-25
-115.26788,35.2568799991103,2017-07-25
-111.743005,40.627487,2017-07-25
-111.971626,36.233157,2017-07-25
-110.534317,36.680602,2017-07-25
-109.826073,38.152208,2017-07-25
-109.47,36.1311,2017-07-25
-111.963528,36.170115,2017-07-25
-109.577636,38.71525,2017-07-25
-109.79704,38.56168,2017-07-25
-110.532964,36.689009,2017-07-25
-110.54023,36.682083,2017-07-25
-115.30789,35.26389,2017-07-25
-115.30789,35.2638899991102,2017-07-25
-115.328283,35.2623999991102,2017-07-25
-115.298233,35.2552669991103,2017-07-25
-110.38351,40.15598,2017-07-25
-110.38351,40.15598,2017-07-25
-106.1238,38.848,2017-07-25
-106.1238,38.848,2017-07-25
-105.86666,38.47094,2017-07-25
-104.028681,37.672626,2017-07-25
-107.67472,35.27111,2017-07-25
-105.184717,40.768467,2017-07-25
-106.961225,40.295526,2017-07-25
-108.953888,38.702613,2017-07-25
-104.753889,36.499167,2017-07-25
-104.935,36.8831,2017-07-25
-104.935,36.8831,2017-07-25
-105.293312,38.402411,2017-07-25
-104.698083,36.799667,2017-07-25
-109.478331,36.130933,2017-07-25
-108.15874,33.03598,2017-07-25
-108.15874,33.03598,2017-07-25
-108.65666,39.04055,2017-07-25
-108.65,39.04,2017-07-25
