"lon","lat","structure.17085..class....Date.."
-104.82698,31.89832,2016-10-11
-106.39847,35.08683,2016-10-11
-109.44639,32.14714,2016-10-11
-105.36532,39.57384,2016-10-11
-105.88777,35.68966,2016-10-11
-106.22136,35.86118,2016-10-11
-106.26324,35.77789,2016-10-11
-106.22368,35.86001,2016-10-11
-107.76099,39.58745,2016-10-11
-109.84955,38.31707,2016-10-11
-103.97991,36.7782,2016-10-11
-103.97086,36.7808,2016-10-11
-103.9681,36.78147,2016-10-11
-104.37726,36.94356,2016-10-11
-107.2224,39.42026,2016-10-11
-111.81662,36.0359,2016-10-11
-107.79951,38.67133,2016-10-11
-110.73002,37.51782,2016-10-11
-105.67267,36.67992,2016-10-11
-106.28625,35.09768,2016-10-11
-109.73621,38.48634,2016-10-11
-116.89659,33.45076,2016-10-11
-105.83554,32.95092,2016-10-11
-105.06712,38.21114,2016-10-11
-105.92303,35.70017,2016-10-11
-105.56248,36.54495,2016-10-11
-108.39725,32.55617,2016-10-11
-111.83194,34.86547,2016-10-11
-111.77025,34.80761,2016-10-11
-111.95995,36.03925,2016-10-11
-109.44504,38.43991,2016-10-11
-112.11513,36.0627,2016-10-11
-111.98714,35.99864,2016-10-11
-102.98788,37.09172,2016-10-11
-102.98788,37.09172,2016-10-11
-115.30012,35.24118,2016-10-11
-115.24607,35.30072,2016-10-11
-115.26788,35.25688,2016-10-11
-109.82607,38.15221,2016-10-11
-109.47,36.1311,2016-10-11
-109.79704,38.56168,2016-10-11
-110.53296,36.68901,2016-10-11
-111.96353,36.17011,2016-10-11
-109.57764,38.71525,2016-10-11
-110.54023,36.68208,2016-10-11
-115.30789,35.26389,2016-10-11
-110.38351,40.15598,2016-10-11
-110.38351,40.15598,2016-10-11
-105.86666,38.47094,2016-10-11
-106.1238,38.848,2016-10-11
-106.1238,38.848,2016-10-11
-104.02868,37.67263,2016-10-11
-107.67472,35.27111,2016-10-11
-105.18472,40.76847,2016-10-11
-108.95389,38.70261,2016-10-11
-106.96122,40.29553,2016-10-11
-104.935,36.8831,2016-10-11
-104.935,36.8831,2016-10-11
-104.75389,36.49917,2016-10-11
-104.69808,36.79967,2016-10-11
-109.47833,36.13093,2016-10-11
-108.15874,33.03598,2016-10-11
-108.15874,33.03598,2016-10-11
-108.65,39.04,2016-10-11
-108.65666,39.04055,2016-10-11
-106.19583,38.55611,2016-10-11
-113.64,36.07,2016-10-11
-113.56,36.37,2016-10-11
-110.7081,38.8664,2016-10-11
-105.18166,40.76305,2016-10-11
-104.9656,39.7456,2016-10-11
-105.1817,40.7631,2016-10-11
-104.9656,39.7456,2016-10-11
-105.1817,40.7631,2016-10-11
-104.96555,39.74555,2016-10-11
-105.96194,38.50777,2016-10-11
-105.96194,38.50778,2016-10-11
-105,39,2016-10-11
-105.96194,38.50778,2016-10-11
-11.41889,38.75472,2016-10-11
-110,40,2016-10-11
-11.41889,38.75472,2016-10-11
-111.41888,38.75472,2016-10-11
-112.1174,36.06628,2016-10-11
-112.1184,36.04881,2016-10-11
-112.128,36.05361,2016-10-11
-111.83111,36.03194,2016-10-11
-112.8085,38.21883,2016-10-11
-109.425,39.6708,2016-10-11
-111.66,39.19,2016-10-11
-106.02639,36.50528,2016-10-11
-109.15,39.7792,2016-10-11
-109.425,39.67083,2016-10-11
-109.425,39.67083,2016-10-11
-109.15,39.77917,2016-10-11
-112.68333,37.87917,2016-10-11
-108.4958,38.9208,2016-10-11
-109.15,39.7792,2016-10-11
-108.49583,38.92083,2016-10-11
-105.1042,38.2083,2016-10-11
-105.1042,38.2083,2016-10-11
-109.15,39.77917,2016-10-11
-108.49583,38.92083,2016-10-11
-108.53333,39.30417,2016-10-11
-108.53333,39.30416,2016-10-11
-106.17056,38.11417,2016-10-11
-106.23056,38.14111,2016-10-11
-105.99278,38.3575,2016-10-11
-105.0194,37.7775,2016-10-11
-105.0194,37.7775,2016-10-11
-106.20722,38.18333,2016-10-11
-106.20722,38.18333,2016-10-11
-106.17056,38.11417,2016-10-11
-112.3,38.09,2016-10-11
-104.6622,32.1969,2016-10-11
-105.55778,36.25222,2016-10-11
-105.55777,36.25222,2016-10-11
-103.33799,37.52323,2016-10-11
-103.33739,37.52302,2016-10-11
-104.97583,37.41389,2016-10-11
-104.97583,37.41389,2016-10-11
-112.12056,36.055,2016-10-11
-115.3113,35.26,2016-10-11
-115.5856,35.5261,2016-10-11
-111.42,33.67,2016-10-11
-110.47427,40.16543,2016-10-11
-110.47427,40.16543,2016-10-11
-104.9619,39.73193,2016-10-11
-109.21008,39.79842,2016-10-11
-111.42,33.67,2016-10-11
-110.92644,38.84747,2016-10-11
-110.92644,38.84747,2016-10-11
-108.23944,32.47611,2016-10-11
-105.7194,38.0325,2016-10-11
-105.5981,35.0047,2016-10-11
-105.5981,35.0047,2016-10-11
-109.1755,40.89433,2016-10-11
-106.1337,38.90639,2016-10-11
-104.9619,39.73193,2016-10-11
-111.98,40.44,2016-10-11
-112.17,40.65,2016-10-11
-110.83,40.17,2016-10-11
-110.83,40.17,2016-10-11
-108.875,38.46667,2016-10-11
-107.89166,39.6580799990728,2016-10-11
-107.85,39.96666,2016-10-11
-104.05,30.48333,2016-10-11
-105.71667,38.03333,2016-10-11
-103.983,35.316,2016-10-11
-111,39.5,2016-10-11
-104.86,31.89111,2016-10-11
-111.89305,34.82947,2016-10-11
-106.67489,39.92752,2016-10-11
-106.67489,39.92752,2016-10-11
-104.92397,37.15408,2016-10-11
-102.94713,37.04166,2016-10-11
-109.32,38.43,2016-10-11
-108.79588,33.3616,2016-10-11
-104.94225,38.39054,2016-10-11
-103.05972,36.84274,2016-10-11
-109.08,40.1,2016-10-11
-109.18,39.65,2016-10-11
-109.5022,39.7369,2016-10-11
-115.3077,35.2637,2016-10-11
-115.3124,35.2603,2016-10-11
-107.96667,39.76667,2016-10-11
-115.6917,34.8394,2016-10-11
-115.3516,35.2836,2016-10-11
-115.2759,35.2721,2016-10-11
-115.298,35.2526,2016-10-11
-115.3113,35.2621,2016-10-11
-112.23,37.77,2016-10-11
-102.92651,36.90305,2016-10-11
-115.29972,35.22528,2016-10-11
-103.02349,36.81373,2016-10-11
-103.02349,36.81373,2016-10-11
-107.90472,32.64474,2016-10-11
-103.80415,35.77684,2016-10-11
-109.35,37.89166,2016-10-11
-115.46833,35.21583,2016-10-11
-115.2908,35.2584,2016-10-11
-102.97028,36.87769,2016-10-11
-115.51056,34.98778,2016-10-11
-115.465,34.96667,2016-10-11
-102.96817,37.03672,2016-10-11
-103.99425,37.64356,2016-10-11
-109.48,32.15,2016-10-11
-108.28,33.17,2016-10-11
-112,34,2016-10-11
-108.43,31.74,2016-10-11
-109.37,33.13,2016-10-11
-115.2891,35.2726,2016-10-11
