,X_WGS84,Y_WGS84,ConnochaetesGnou,GuloGulo,PantheraOnca,PteropusGiganteus,TenrecEcaudatus,VulpesVulpes,bio3,bio4,bio7,bio11,bio12
1,-94.5,82.00000782,0,0,0,0,0,0,12.77777447,15086.6669,471.5555853,-381.7777388,93.22216277
2,-91.5,82.00000782,0,1,0,0,0,0,12.23076984,15473.69161,478.6153676,-385.3076997,87.53848702
3,-88.5,82.00000782,0,1,0,0,0,0,11.64706003,15987.76386,487.2941073,-391.352895,95.64695797
4,-85.5,82.00000782,0,1,0,0,0,0,11.24999882,16186.33352,489.5416769,-396.624997,103.7499545
5,-82.5,82.00000782,0,1,0,0,0,0,11.11111045,15788.03779,478.8518737,-396.1111046,131.6665798
6,-79.5,82.00000782,0,1,0,0,0,0,11.43333432,15299.06732,466.1333587,-389.899981,148.3998815
7,-76.5,82.00000782,0,1,0,0,0,0,11.71875384,14720.65736,450.4062822,-380.0937649,162.1249793
8,-73.5,82.00000782,0,1,0,0,0,0,12.2222195,14136.55683,433.7778118,-369.472252,179.6944281
9,-70.5,82.00000782,0,1,0,0,0,0,12.79999825,13496.00092,416.9333521,-353.7333306,187.5665818
10,-67.5,82.00000782,0,1,0,0,0,0,13.7931017,13105.55268,412.1034496,-332.5862764,159.65527
11,-64.5,82.00000782,0,1,0,0,0,0,14.59259518,13011.14817,417.0740617,-324.1481348,156.2962363
12,-61.5,82.00000782,0,1,0,0,0,0,14.73684237,12758.47453,415.7368534,-314.6842354,160.473735
13,-58.5,82.00000782,0,0,0,0,0,0,13.73684656,12413.26381,403.4737131,-320.4210135,206.5787989
14,-55.5,82.00000782,0,0,0,0,0,0,13.62499302,12122.62568,396.5416863,-315.5416861,203.8333367
15,-52.5,82.00000782,0,0,0,0,0,0,13.68182093,11860.31833,390.363642,-310.363614,207.6817155
16,-49.5,82.00000782,0,0,0,0,0,0,14.34615254,11733.50013,387.8846206,-307.5768987,205.8460364
17,-46.5,82.00000782,0,0,0,0,0,0,14.66666761,11673.19986,386.4333325,-307.3666273,207.4665299
18,-43.5,82.00000782,0,0,0,0,0,0,15.27778057,11634.91682,385.6944481,-306.5277702,207.0276838
19,-40.5,82.00000782,0,0,0,0,0,0,14.72222502,11708.44428,385.1388963,-324.5555112,276.9720424
20,-37.5,82.00000782,0,0,0,0,0,0,15.22221758,11680.36162,383.7222287,-325.5000183,281.2778469
21,-34.5,82.00000782,0,0,0,0,0,0,15.80555803,11655.80555,382.611113,-319.9166725,251.0000259
22,-31.5,82.00000782,0,0,0,0,0,0,16.58332967,11705.30524,383.9166609,-314.2499998,217.9722687
23,-28.5,82.00000782,0,0,0,0,0,0,17.19444438,11963.05506,394.6388709,-322.222215,205.6667233
24,-25.5,82.00000782,0,0,0,0,0,0,17.18181498,12116.42376,398.5454482,-312.424276,173.0303971
25,-22.5,82.00000782,0,0,0,0,0,0,17.07407932,12265.18468,402.074063,-303.2593031,152.0371218
26,-19.5,82.00000782,0,0,0,0,0,0,17,12401.4372,404.8749919,-307.5000025,187.6873834
27,-16.5,82.00000782,0,0,0,0,0,0,16.99998686,12152.00246,393.2500812,-277.250115,167.8125558
28,-13.5,82.00000782,0,0,0,0,0,0,16.92308091,11206.31136,362.8462771,-254.6154554,188.3075565
29,-10.5,82.00000782,0,0,0,0,0,0,17,10394.00305,338.0001053,-238,211.9999474
30,19.5,82.00000782,0,0,0,0,0,0,18,6761.501476,234.5000314,-148.0002199,234.5004397
31,22.5,82.00000782,0,0,0,0,0,0,18,6658.002456,232.0001259,-148.0003149,252.0006297
32,46.5,82.00000782,0,0,0,0,0,0,22,7503.498721,277.2499645,-185.7499645,247.7500357
33,49.5,82.00000782,0,0,0,0,0,0,21.71429557,7940.283434,290.9999483,-200.7142009,241.2856833
34,52.5,82.00000782,0,0,0,0,0,0,21.00003618,8278.99906,301.4999638,-212.5002176,244.5006888
35,55.5,82.00000782,0,0,0,0,0,0,20.8999923,9301.297953,326.899922,-241.7999624,241.2000176
36,58.5,82.00000782,0,0,0,0,0,0,20,10080.42687,349.1428252,-259.5714326,227.7858094
37,61.5,82.00000782,0,0,0,0,0,0,20,9731.336319,339.777853,-256.5556187,207.6667817
38,64.5,82.00000782,0,0,0,0,0,0,20,9441.125714,334.3750188,-253.2500551,188.7501434
39,79.5,82.00000782,0,0,0,0,0,0,18,10246.66654,334.3333062,-273.000092,154.3336444
40,91.5,82.00000782,0,0,0,0,0,0,17.74999996,11814.74977,386.9999363,-309.0000213,129.9999789
41,94.5,82.00000782,0,0,0,0,0,0,17.87501111,12082.12461,396.5000022,-321.624838,162.9996815
42,97.5,82.00000782,0,0,0,0,0,0,18,12136.49963,399.4999559,-314.7501586,165.7502306
43,-115.5,79.00000782,0,0,0,0,0,0,11.66666667,14457.33325,453.3333347,-359.3333279,74
44,-112.5,79.00000782,0,0,0,0,0,0,12,14488.92314,454.6153908,-362.6153837,68.99999774
45,-109.5,79.00000782,0,0,0,0,0,0,12,14491.55572,455.6666639,-362.222236,64.66668034
46,-106.5,79.00000782,0,0,0,0,0,0,13.24999415,14458.25021,459.0000058,-362.9999883,75.49998246
47,-103.5,79.00000782,0,0,0,0,0,0,13.9999998,14551.05572,464.5000006,-369.0555698,99.6110972
48,-100.5,79.00000782,0,0,0,0,0,0,13.99999983,14482.99997,463.6315821,-363.4736966,99.94738191
