"X_WGS84" "Y_WGS84" "VulpesVulpes" "bio3" "bio4" "bio7" "bio11" "bio12"
"590" 108.75 73.750007823 1 16 15480.2470914864 522.999910906659 -322.24998872528 230.250192580254
"591" 110.25 73.750007823 1 15.3750012907949 15862.6208114941 533.24986484941 -327.37494250156 221.000074923935
"592" 111.75 73.750007823 1 15 16217.7746924298 542.333255460368 -334.333271306183 212.222318487289
"593" 113.25 73.750007823 1 14.8571567371706 16564.8529337425 551.285623238081 -340.857076675397 205.000123099288
"594" 114.75 73.750007823 1 14.0000230972809 17039.746864945 563.999943322739 -348.249932097101 196.250067863543
"595" 116.25 73.750007823 1 14 17190.9976377726 567.999966380784 -354.749880114374 193.500066592669
"596" 117.75 73.750007823 1 14 17428.3322246625 573.333288299426 -358.333359148738 187.000146444574
"598" 123.75 73.750007823 1 14.833332459765 17637.498813395 575.499958812816 -365.166640349206 222.833177501363
"599" 125.25 73.750007823 1 15 17739.5990726849 577.999954517384 -367.399979879448 235.399925118352
"600" 126.75 73.750007823 1 15 17901.665562803 581.999991160012 -370.999932462287 238.333411900632
"601" 128.25 73.750007823 1 15.666668413635 17955.3329218153 582.999992958964 -373.333267281825 219.666949151929
"691" 101.25 72.250007823 1 16.0000005997633 15898.1082057096 546.777708466418 -318.111075638577 276.333291185556
"692" 102.75 72.250007823 1 16 16065.6657787065 551.555542725838 -320.111053864829 274.999951420263
"693" 104.25 72.250007823 1 16 15940.6664778183 546.444483480411 -321.888856571822 265.444544847995
"694" 105.75 72.250007823 1 16 15914.111002407 544.222212478132 -324.111042173788 260.22219365148
"695" 107.25 72.250007823 1 16 16026.9981798624 545.444391517819 -327.999957782368 257.999951811212
"696" 108.75 72.250007823 1 15.6666974366986 16275.3302912836 551.222166618284 -330.111056203163 248.666654194234
"697" 110.25 72.250007823 1 15 16585.1075154404 558.888792675377 -332.555480612086 237.777817335529
"698" 111.75 72.250007823 1 14.8888990499879 16910.3298113293 566.222137621527 -338.444400288218 231.222279564168
"699" 113.25 72.250007823 1 14.2222318009407 17219.3301305567 573.333270028312 -345.888865411067 221.111344033385
"700" 114.75 72.250007823 1 14 17486.7752172859 579.777702095317 -351.555469286185 209.222274522203
"701" 116.25 72.250007823 1 14 17677.1095667484 583.666633106156 -356.555512503422 203.888867497555
"702" 117.75 72.250007823 1 14 17806.7767317527 586.444410849229 -360.333321677112 198.888887359232
"703" 119.25 72.250007823 1 14 17895.1098699253 587.111100654257 -363.333298434451 197.444440706392
"704" 120.75 72.250007823 1 14 17949.4431385131 587.666656157831 -365.111089684887 209.555464599412
"705" 122.25 72.250007823 1 14 17999.999219512 588.333322772284 -368.333284309766 235.110806043283
"706" 123.75 72.250007823 1 14 18073.8873607972 589.666635722699 -370.222196832642 256.333076993561
"707" 125.25 72.250007823 1 14.5555455768801 18202.5526770703 592.333249784606 -374.888814206357 277.221899519165
"708" 126.75 72.250007823 1 15 18361.4424645846 596.333288994653 -376.444553721198 275.222584882264
"709" 128.25 72.250007823 1 15.3333232504703 18482.4441615942 598.888874042578 -379.777748407049 242.222660287911
"710" 129.75 72.250007823 1 16 18460.1029873387 597.800048157021 -379.0000149414 209.900222678018
"711" 132.75 72.250007823 1 17 18630.3429832683 601.666953062057 -383.000192233969 201.666789746015
"713" 140.25 72.250007823 1 20.1428571428571 15186.2886541044 498.714371381063 -330.857195186738 135.99999167451
"714" 141.75 72.250007823 1 20.3333575755149 14531.7830032652 479.222403609485 -320.555690969951 130.222263787459
"715" 143.25 72.250007823 1 20.1111117457056 14126.4454810272 466.66670147848 -312.555638573817 132.111068667353
"716" 144.75 72.250007823 1 18.6667014655217 14553.1613427525 477.166523676531 -315.499939776579 143.833249509857
"717" 146.25 72.250007823 1 17.0000529478363 15020.9941836908 487.83321336863 -319.999923452771 159.833120758546
"718" 147.75 72.250007823 1 15.8333342851316 15473.9949615684 499.49985273349 -324.333263031372 169.499974366625
"719" 149.25 72.250007823 1 15.7999805367143 15828.1960568891 511.39984440231 -329.199917577754 168.400065258585
"802" 21.75 70.750007823 1 23 8012.99674404822 307.249850445737 -113.250026284601 584.250323357826
"803" 23.25 70.750007823 1 23.4999788260372 8575.66254262372 331.833135257238 -131.499812471872 647.499486320162
"804" 24.75 70.750007823 1 24.1666569663257 8797.6668319979 343.999967990721 -133.666624736163 579.000986005262
"805" 26.25 70.750007823 1 25.5714302700824 7951.86554786043 315.714596942554 -114.14307107706 481.714716311396
"806" 27.75 70.750007823 1 27.3333580666885 6452.67269439452 263.333562948478 -79.5000570162296 475.999430455428
"807" 29.25 70.750007823 1 26.0000238599162 5812.16929073827 231.333526076218 -66.0001148396606 528.499760161124
"808" 30.75 70.750007823 1 23.5 5471.75342164707 205.875244475184 -52.5002382656373 552.375387439193
"831" 90.75 70.750007823 1 17 14699.6648865367 509.666613044798 -292.444340494949 382.777619492354
"832" 92.25 70.750007823 1 17 14918.2196385557 517.666592531354 -299.77769766216 384.222199769193
"833" 93.75 70.750007823 1 17 15167.5522443225 526.777654949152 -305.555603205064 379.2225314337
"834" 95.25 70.750007823 1 17 15458.2183819771 536.555422531181 -310.444518961552 363.44494042455
"835" 96.75 70.750007823 1 17 15743.1089637638 546.111046206616 -317.333211756546 344.000014116036
"836" 98.25 70.750007823 1 17 16055.8851096898 556.222111475783 -320.666696966449 318.000381434721
"837" 99.75 70.750007823 1 16.7777978652408 16316.5524990536 564.888788120891 -328.333264856769 305.444621563662
"838" 101.25 70.750007823 1 16.3333417733142 16567.5533063402 572.222171677259 -333.222132032555 291.999924065655
"839" 102.75 70.750007823 1 16.1111005763041 16704.3321751285 575.999996583785 -336.555590019392 285.222386459617
"840" 104.25 70.750007823 1 16.11110055892 16660.4445868425 573.000055125036 -337.888856206503 281.666711491771
"841" 105.75 70.750007823 1 16 16621.9996545163 570.55553674589 -341.555517770666 287.999969559862
"842" 107.25 70.750007823 1 16 16691.3322980726 569.999977296025 -346.999917850885 297.110960746793
"843" 108.75 70.750007823 1 15.444453831937 16882.5523128767 573.3332603976 -352.222079767277 303.110833459194
"844" 110.25 70.750007823 1 15 17168.218491183 579.777641902495 -351.666809191044 292.77809065033
"845" 111.75 70.750007823 1 14.3333447982063 17551.2174393858 588.333248219673 -345.555572565964 261.889186802099
"846" 113.25 70.750007823 1 14 17875.2185737829 595.888800098667 -350.555473353899 247.666827400474
"847" 114.75 70.750007823 1 14 18128.9976690072 601.222156274812 -358.333266595051 236.666730136219
"848" 116.25 70.750007823 1 14 18289.6652331629 604.222157352781 -363.888874711865 228.555687371059
"849" 117.75 70.750007823 1 14 18366.7768554598 604.444462167421 -366.77775017155 225.222121072325
"850" 119.25 70.750007823 1 14 18404.5554367343 604.222223273807 -368.99995828667 228.666505811066
"851" 120.75 70.750007823 1 14 18428.7770275639 603.555548227947 -370.888858831174 243.777581508169
"852" 122.25 70.750007823 1 13.8888895755744 18453.3328930226 603.111090510664 -373.111058071939 269.555110102533
"853" 123.75 70.750007823 1 14 18524.9982329468 603.999957625814 -377.666656192773 299.999796812512
"854" 125.25 70.750007823 1 14 18744.8854027216 609.222133927743 -377.888906828896 313.77763060141
"855" 126.75 70.750007823 1 14.5555555207904 19028.8855612137 616.555444878645 -385.999938086368 336.999876546199
"856" 128.25 70.750007823 1 15 19280.2190372932 622.444362686218 -401.555298868061 314.889275314847
"857" 129.75 70.750007823 1 15.5000007723023 19550.2473501697 629.249925770088 -407.874939235148 264.000369670402
"858" 131.25 70.750007823 1 16 19864.8316586017 637.499965435749 -402.500097251013 220.000435969121
"859" 132.75 70.750007823 1 16.6666680226533 19581.6680143649 629.111171929597 -396.111120759247 205.111087355763
"860" 134.25 70.750007823 1 17.2222113136644 19210.6713938984 618.44455831999 -394.000057020236 218.221985648827
"861" 135.75 70.750007823 1 17.9999883526074 18596.7841786155 601.111290316424 -383.333456657124 233.999831911779
"862" 137.25 70.750007823 1 18.666633575862 17901.2288981877 581.111276965477 -369.666770459325 211.444871670936
"863" 138.75 70.750007823 1 19.1110993594106 17229.116892007 560.88907136226 -360.000078785239 181.333596522506
"864" 140.25 70.750007823 1 19.3333333334676 16637.6719880762 542.000191252443 -351.111179265806 163.777833728992
"865" 141.75 70.750007823 1 19.5555338687002 16130.4480590929 525.555701747992 -341.000072674915 156.111066494653
"866" 143.25 70.750007823 1 19.0000119429892 15822.7777953604 514.777801741641 -334.444504254649 161.111031403891
"867" 144.75 70.750007823 1 18.0000112738277 15820.9974539328 513.222158795306 -330.666652507179 173.110859030879
"868" 146.25 70.750007823 1 16.4444564569758 16059.1081392192 518.999869113612 -330.222236207624 188.110908341227
"869" 147.75 70.750007823 1 15.000012029847 16350.5525497299 528.110937503154 -330.444424261229 198.888835658078
"870" 149.25 70.750007823 1 15.111100315492 16610.1067835022 536.888728779901 -337.777604830901 195.222300538265
"871" 150.75 70.750007823 1 15.9999885177683 16769.5544136177 543.333290976309 -340.888833363748 181.000103392919
"872" 152.25 70.750007823 1 16.4285557156737 16920.7140158239 549.571401514913 -343.428549490898 170.857240509449
"873" 153.75 70.750007823 1 17 16902.0020010104 550.333354911187 -344.166732196265 160.500140355987
"874" 155.25 70.750007823 1 17.6666656366384 16688.5021941212 544.666735833981 -342.999977418116 151.500092675033
"875" 156.75 70.750007823 1 18.0000010038457 16289.0050888648 533.333491681904 -338.000049623335 144.333420428167
"876" 158.25 70.750007823 1 18.8333343633616 15685.5072029571 516.000191374497 -329.666787113468 136.166717789646
"877" 159.75 70.750007823 1 19.9999734609207 14968.1337062344 494.875216469612 -319.25007656676 129.750100171231
"972" 17.25 69.250007823 1 26.4000150042177 5718.99001065076 221.999649142899 -49.3996459522209 915.803325927293
"973" 18.75 69.250007823 1 24.3333402782986 6344.54556125397 241.999638572377 -73.8883387471272 764.000463989429
"974" 20.25 69.250007823 1 23.1111180561245 7686.65758172932 292.777399582353 -115.666544973918 605.334697074153
"975" 21.75 69.250007823 1 22.9999922292754 8935.32467477613 340.44412376537 -142.222095055586 531.33352144744
"976" 23.25 69.250007823 1 22.888881083443 9669.88477572686 370.222060730633 -152.777780610743 536.444657983643
"977" 24.75 69.250007823 1 23.1111039749183 10023.1084345744 387.333181029909 -159.111128581707 489.223116354697
"978" 26.25 69.250007823 1 23.666668092147 9623.3397121355 373.000289942914 -147.111303850503 430.222387208092
"979" 27.75 69.250007823 1 24.0000050327039 8406.34063357878 326.111422662331 -115.222353090777 435.666231921797
"980" 29.25 69.250007823 1 23.8889056212614 7304.55991978835 283.111304145463 -88.7779004496526 471.777624658286
"981" 30.75 69.250007823 1 22.1111338497273 6955.77654383971 263.111099480514 -83.6665965903578 515.110710864077
"982" 32.25 69.250007823 1 20.2222296018396 7512.21538837123 280.555319937009 -93.8887454595198 525.333384530122
"983" 33.75 69.250007823 1 19.6666544368289 8099.50080625631 304.166664867143 -105.833312393527 501.666786121027
"984" 35.25 69.250007823 1 20.333334441517 7821.83519434972 297.500042830399 -103.166658908934 487.166688101328
"985" 36.75 69.250007823 1 21 7726.66705874663 297.333313384684 -104.333361365476 486.000187932444
"990" 53.25 69.250007823 1 20.3333355496881 10047.3315718583 386.999962320126 -160.666613523266 413.333291272741
"993" 57.75 69.250007823 1 20 10840.9976801228 416.999898589071 -181.333256721049 396.000056611979
"994" 59.25 69.250007823 1 20.1428464478131 10993.7112471511 421.714184004924 -191.285609168158 366.214349475939
"995" 60.75 69.250007823 1 20 11447.9966644739 432.249937856588 -203.124923042043 350.125055385761
"996" 62.25 69.250007823 1 19.4444521456618 11643.8874513971 434.444409641113 -212.111024441953 350.555499943112
