"X_WGS84" "Y_WGS84" "VulpesVulpes" "bio3" "bio4" "bio7" "bio11" "bio12"
"525" -89.25 73.750007823 1 14.0000052414098 13938.9998147497 452.000033794755 -318.999921926923 138.999872406891
"526" -87.75 73.750007823 1 14.2499963721226 13889.0005310585 448.375025952513 -320.49996715349 144.499867939205
"527" -86.25 73.750007823 1 14.4444450094218 13652.8897495138 442.111117230383 -312.666680452418 147.777719644749
"528" -84.75 73.750007823 1 14.7500087616411 13137.5013014589 430.500026245887 -299.749993585419 166.999849370561
"529" -83.25 73.750007823 1 13.0000089181782 13265.7485468359 433.99999141434 -314.749913732674 218.499792007513
"530" -81.75 73.750007823 1 13.3333393569612 13648.8319201259 444.499965031627 -321.833238910869 206.166450963229
"626" -95.25 72.250007823 1 14.8571428571224 14183.0003104661 464.857160805014 -329.714249807206 135.428400185498
"629" -89.25 72.250007823 1 14.2499999413675 13926.2505205965 454.750020564484 -315.124992245468 146.624883350338
"630" -87.75 72.250007823 1 14.4444450789593 13662.5566542411 446.777799012689 -309.777809808324 149.333350569765
"631" -86.25 72.250007823 1 15.2499999999792 13340.2511004598 438.625025668883 -296.500052296364 143.87501188132
"632" -84.75 72.250007823 1 14.4444423149214 12963.1122530064 429.333348996612 -295.888856797586 185.11083931679
"633" -83.25 72.250007823 1 13.6666654497924 13123.6653485051 434.222185393657 -304.99995448821 216.999868706021
"634" -81.75 72.250007823 1 13.555560153668 13486.3322960596 443.888854676688 -314.666637982835 220.777717316035
"635" -80.25 72.250007823 1 14.4444397246438 13740.1103668035 450.222206715485 -314.999993228611 194.111172520139
"636" -78.75 72.250007823 1 14.0000054238506 13985.1104444955 454.555555425209 -328.222087181517 217.444011507203
"637" -77.25 72.250007823 1 13.8888852033663 13917.223963458 451.777803376088 -327.222365825228 222.444802622089
"638" -75.75 72.250007823 1 13.8571444216912 13591.1439139438 440.428621182353 -324.999939462134 243.856830310083
"639" -74.25 72.250007823 1 14.7499917664277 13100.7521960692 429.750033051821 -299.500171752066 201.250394763407
"724" -161.25 70.750007823 1 15.6666687267108 12086.9999796866 393.333329369713 -240.999998096446 147.666664606576
"725" -159.75 70.750007823 1 15.9999975592239 12148.7998743476 394.399996323183 -247.6000060863 141.999986466211
"726" -158.25 70.750007823 1 16 12147.3331689982 395.833318547954 -252.666669235274 140.333310959575
"727" -156.75 70.750007823 1 15.9999999999946 12318.6240001286 405.249952074671 -262.62499091569 133.499976384315
"728" -155.25 70.750007823 1 16.7142837473785 13332.7128306585 449.714223689548 -280.714272225378 138.285680792207
"729" -153.75 70.750007823 1 17 14545.9986949783 503.499945747943 -302.999982202857 136.833316227026
"730" -152.25 70.750007823 1 17 15276.9992518432 535.999971586958 -316.399990675058 130.599998028442
"731" -150.75 70.750007823 1 18.3333281702059 15237.3336989218 537.333344441745 -307.000024485775 144.999939398153
"732" -149.25 70.750007823 1 19 14805.3336077597 518.666682990379 -294.000015802376 150.333320112389
"733" -147.75 70.750007823 1 19 14426.0002622227 499.000012646982 -284.666675402403 150.666662442019
