"X_WGS84"	"Y_WGS84"	"ConnochaetesGnou"	"GuloGulo"	"PantheraOnca"	"PteropusGiganteus"	"TenrecEcaudatus"	"VulpesVulpes"
"6"	-78.75	82.75000782	0	1	0	0	0	0
"12"	-69.75	82.75000782	0	1	0	0	0	0
"14"	-66.75	82.75000782	0	1	0	0	0	0
"15"	-65.25	82.75000782	0	1	0	0	0	0
"16"	-63.75	82.75000782	0	1	0	0	0	0
"21"	-54.75	82.75000782	0	0	0	0	0	0
"22"	-53.25	82.75000782	0	0	0	0	0	0
"26"	-47.25	82.75000782	0	0	0	0	0	0
"30"	-41.25	82.75000782	0	0	0	0	0	0
"35"	-33.75	82.75000782	0	0	0	0	0	0
"36"	-32.25	82.75000782	0	0	0	0	0	0
"37"	-30.75	82.75000782	0	0	0	0	0	0
"38"	-29.25	82.75000782	0	0	0	0	0	0
"40"	-26.25	82.75000782	0	0	0	0	0	0
"41"	-24.75	82.75000782	0	0	0	0	0	0
"50"	-86.25	81.25000782	0	1	0	0	0	0
"57"	-75.75	81.25000782	0	1	0	0	0	0
"59"	-72.75	81.25000782	0	1	0	0	0	0
"64"	-65.25	81.25000782	0	1	0	0	0	0
"66"	-62.25	81.25000782	0	0	0	0	0	0
"73"	-51.75	81.25000782	0	0	0	0	0	0
"75"	-48.75	81.25000782	0	0	0	0	0	0
"77"	-45.75	81.25000782	0	0	0	0	0	0
"81"	-39.75	81.25000782	0	0	0	0	0	0
"84"	-35.25	81.25000782	0	0	0	0	0	0
"85"	-33.75	81.25000782	0	0	0	0	0	0
"92"	-23.25	81.25000782	0	0	0	0	0	0
"96"	-17.25	81.25000782	0	0	0	0	0	0
"97"	-15.75	81.25000782	0	0	0	0	0	0
"101"	20.25	81.25000782	0	0	0	0	0	0
"107"	51.75	81.25000782	0	0	0	0	0	0
"112"	60.75	81.25000782	0	0	0	0	0	0
"114"	63.75	81.25000782	0	0	0	0	0	0
"116"	78.75	81.25000782	0	0	0	0	0	0
"121"	95.25	81.25000782	0	0	0	0	0	0
"123"	98.25	81.25000782	0	0	0	0	0	0
"124"	-105.75	79.75000782	0	0	0	0	0	0
"130"	-95.25	79.75000782	0	0	0	0	0	0
"137"	-84.75	79.75000782	0	1	0	0	0	0
"139"	-81.75	79.75000782	0	1	0	0	0	0
"140"	-80.25	79.75000782	0	1	0	0	0	0
"142"	-77.25	79.75000782	0	1	0	0	0	0
"150"	-63.75	79.75000782	0	0	0	0	0	0
"153"	-59.25	79.75000782	0	0	0	0	0	0
"154"	-57.75	79.75000782	0	0	0	0	0	0
"156"	-54.75	79.75000782	0	0	0	0	0	0
"157"	-53.25	79.75000782	0	0	0	0	0	0
"161"	-47.25	79.75000782	0	0	0	0	0	0
"166"	-39.75	79.75000782	0	0	0	0	0	0
"167"	-38.25	79.75000782	0	0	0	0	0	0
"168"	-36.75	79.75000782	0	0	0	0	0	0
"170"	-33.75	79.75000782	0	0	0	0	0	0
"171"	-32.25	79.75000782	0	0	0	0	0	0
"175"	-26.25	79.75000782	0	0	0	0	0	0
"183"	11.25	79.75000782	0	0	0	0	0	0
"185"	14.25	79.75000782	0	0	0	0	0	0
"186"	15.75	79.75000782	0	0	0	0	0	0
"187"	17.25	79.75000782	0	0	0	0	0	0
"190"	21.75	79.75000782	0	0	0	0	0	0
